from,to,volume,EstimatedTT,length,CO2,lengthm
128239,128242,0.0,34.8,289.713,0.0,0.18001925652300002
128242,128238,0.25,38.4,320.665,22.14361851627976,0.19925193171500002
128917,1251890942,2.12,3.0,24.769,14.622014026300532,0.015390738299
129842,129837,21.7,17.4,245.779,1115.8398535254148,0.152719943009
128957,292342693,103.59,3.0,44.72,955.2766095375014,0.02778771112
128957,2429987872,1129.97,7.199999999999999,96.273,23167.050631337814,0.059821250283
292342693,564060,104.29,10.799999999999999,181.373,3815.494130204041,0.112699922383
2429987872,128958,1031.84,1.2,12.811,3120.4123011956544,0.007960383881
2429987872,2429987861,675.69,10.200000000000001,144.575,20417.270216428173,0.089834712325
128958,130125,692.41,1.7999999999999998,45.663,6377.106304263736,0.028373663972999997
128958,2429987884,469.23,6.6,95.55,9315.006823397847,0.05937199905
130125,128961,699.38,10.799999999999999,239.225,33440.42929517773,0.148647477475
2429987884,128957,600.28,1.2,12.972,1825.521782105398,0.008060424612
2429987884,2265793802,951.41,13.8,185.674,37538.729195884596,0.115372439054
128959,130125,70.7,2.4,57.212,811.619747051014,0.035549877652
128959,128958,129.8,4.2,55.006,1531.9243175664953,0.034179133226000004
128961,564068,786.06,19.8,443.997,69792.5789823453,0.275886859887
564068,273159,351.13,15.600000000000001,346.328,24307.846054506448,0.21519817568799998
564068,2592685923,434.94,12.0,261.837,22749.660969361732,0.162697918527
128963,2429987884,1082.47,22.8,316.72,72093.4022770682,0.19680062312000002
128963,564062,148.41,7.800000000000001,179.002,5318.367044529885,0.11122665174200001
564062,564060,148.41,16.8,376.207,11164.455008822644,0.23376411979700001
128969,128971,858.68,18.0,400.611,68768.4508070461,0.248928057681
128971,129002,982.21,93.60000000000001,2597.514,521401.7402560504,1.6140198716940002
128970,129937,1298.0,12.0,245.871,63670.70219197082,0.152777109141
128970,564062,0.0,72.0,1195.5,0.0,0.7428490305000001
129937,1627466140,1541.72,6.6,139.089,42796.99373302547,0.086425871019
129002,440566,982.21,120.0,2660.625,522344.01875778305,1.653235216875
129001,128970,1298.0,164.4,2735.632,717139.2234761261,1.699842391472
440566,1029625165,879.26,19.8,331.224,58775.68086876472,0.205812988104
440566,1029615236,19.94,12.6,209.815,844.8702922642276,0.13037295636500001
129071,1029615259,57.45,244.8,4078.723,47316.0747744891,2.534400189233
1029615259,1029623888,231.57,27.6,305.93,16386.82257556911,0.19009603003
1029615259,1029614926,143.97,13.2,215.264,6277.745159204047,0.133758806944
2429987861,128959,200.5,6.0,84.65,3552.1620953804577,0.052599055150000004
129837,129842,761.41,17.4,240.863,38607.39743900009,0.149665283173
129934,273158,428.66,12.6,205.001,17806.905576990357,0.127381676371
129934,129935,116.93,22.8,383.011,9033.501199655711,0.23799192808100003
273158,273159,856.43,21.0,345.546,59864.03484312103,0.214712263566
129935,128963,1230.88,19.2,426.249,104874.52081696522,0.264858767379
1627466140,273158,427.77,13.2,295.802,25303.020730127828,0.18380278454200003
1627466140,129935,1113.95,9.6,204.825,45549.20346582229,0.127272315075
129950,130122,448.91,9.0,146.629,13335.376067241432,0.09111100835899999
130122,129937,243.72,15.0,248.964,12258.95784463607,0.154699009644
130122,273165,205.18,11.4,192.073,7946.118333962411,0.11934859208300001
71467632,273173,1.1,3.5999999999999996,47.093,11.11962403603422,0.029262224503000003
2036075521,2036075510,1140.1,24.599999999999998,116.769,56519.795539414845,0.072556870299
768194458,1971347182,0.0,2.4,35.024,0.0,0.021762897904
273165,106370593,708.14,121.2,2019.604,288783.81754223583,1.2549233570840002
361756,21600321,0.0,72.6,1005.928,0.0,0.6250544872880001
146607,129071,0.0,58.199999999999996,969.962,0.0,0.602706257902
147044,1354017623,810.39,22.2,303.088,51937.889902105664,0.18833009364800002
147044,102763936,1455.45,82.8,1274.571,379763.3196617451,0.791981456841
1354017623,88980135,1265.65,1.2,14.659,4094.714342040085,0.009108677489000001
1354017623,1354017594,58.22,6.6,88.114,1093.080892067836,0.054751484294
102763936,667066198,892.92,6.6,108.333,19574.97733296348,0.067314984543
147056,1756243843,2190.52,105.6,1227.552,607211.1261453481,0.7627652137919999
147056,1552533766,1963.1,33.6,415.85,179155.81174712756,0.25839713035
1756243843,147044,2941.64,21.0,265.782,169993.5566346629,0.165149227122
1552533766,1552533744,3022.95,1.2,9.898,8337.610087257852,0.006150330158
1552533766,1693378420,5.95,46.2,638.265,799.9688875510084,0.396599361315
147062,1562270755,3621.54,90.6,918.266,808875.4062907277,0.570583862686
1562270755,147056,4153.62,44.4,546.141,499150.64295022044,0.339356179311
147065,147062,2664.2,34.8,298.697,215614.67260993758,0.185601653587
147065,21151017,1080.07,23.400000000000002,229.234,61479.74481186923,0.14243935981400002
21151017,6130357047,1265.23,3.0,35.686,10085.119938916381,0.022174245506
147066,147065,3744.28,7.800000000000001,73.61,70073.59665278073,0.04573911931
147066,27399419,24.52,21.599999999999998,297.229,1537.1552958065813,0.184689480959
27399419,1661372285,1067.9,4.2,60.124,13381.294198967897,0.037359310004
147086,471905,468.52,58.8,977.398,92498.50471778036,0.6073267726580001
147086,3669978407,1594.43,34.8,571.958,184506.8271845423,0.355398114418
471905,6578736,2766.21,33.0,452.753,264405.1649975921,0.281327584363
3669978407,3671858647,3363.59,7.199999999999999,78.311,61546.44742571243,0.048660184381000005
236823,28959692,1857.82,20.400000000000002,340.913,127839.51885127835,0.211833451723
28959692,20924809,869.24,19.2,323.211,56653.610677397046,0.20083394228100002
28959692,267735,444.23,63.6,1055.537,94735.170566412,0.655880081227
