gridID_lat,gridID_lon,inner_gridID_lat,inner_gridID_lon,oneway,lanelength,ZoneID,osmid,y,x,street_count,lon,lat,highway,ref,geometry,lanecapacity
2,5,None,None,False,24684.22,20,2208582202,51.0157151,13.7683234,3,13.7683234,51.0157151,,,POINT (13.7683234 51.0157151),1800.0
2,5,None,None,False,24684.22,20,30409397,51.0335036,13.7492711,4,13.7492711,51.0335036,,,POINT (13.7492711 51.0335036),4800.0
2,5,None,None,False,24684.22,20,301887305,51.0298256,13.7711763,3,13.7711763,51.0298256,,,POINT (13.7711763 51.0298256),5200.0
2,5,None,None,False,24684.22,20,206127721,51.0331084,13.7825369,4,13.7825369,51.0331084,,,POINT (13.7825369 51.0331084),4200.0
2,6,None,None,False,21770.802,22,2072802,51.0273731,13.8004801,4,13.8004801,51.0273731,,,POINT (13.8004801 51.0273731),7400.0
2,6,None,None,False,21770.802,22,344624368,51.0159758,13.8159002,3,13.8159002,51.0159758,,,POINT (13.8159002 51.0159758),1800.0
2,6,None,None,False,21770.802,22,28796761,51.0347453,13.7841354,4,13.7841354,51.0347453,,,POINT (13.7841354 51.0347453),4800.0
2,6,None,None,False,21770.802,22,33477164,51.0359469,13.7882602,3,13.7882602,51.0359469,,,POINT (13.7882602 51.0359469),4200.0
2,6,None,None,False,21770.802,22,10712397264,51.0213811,13.8035744,2,13.8035744,51.0213811,,,POINT (13.8035744 51.0213811),4200.0
2,7,None,None,False,21676.262,24,3061333822,51.0339088,13.8235612,3,13.8235612,51.0339088,,,POINT (13.8235612 51.0339088),7000.0
2,7,None,None,False,21676.262,24,33476661,51.0248787,13.8374604,3,13.8374604,51.0248787,,,POINT (13.8374604 51.0248787),3600.0
2,7,None,None,False,21676.262,24,11297673,51.0284705,13.8339217,3,13.8339217,51.0284705,,,POINT (13.8339217 51.0284705),5200.0
2,7,None,None,False,21676.262,24,32547463,51.0283725,13.8471157,3,13.8471157,51.0283725,,,POINT (13.8471157 51.0283725),4000.0
2,9,None,None,False,12286.786,27,149435529,51.0335562,13.9067571,3,13.9067571,51.0335562,,,POINT (13.9067571 51.0335562),3600.0
2,9,None,None,False,12286.786,27,3536865195,51.0343531,13.89822,1,13.89822,51.0343531,,,POINT (13.89822 51.0343531),1200.0
3,0,None,None,False,11003.707000000002,28,10940911,51.0395717,13.6100613,3,13.6100613,51.0395717,,,POINT (13.6100613 51.0395717),14000.0
3,0,None,None,False,11003.707000000002,28,1277308096,51.0371151,13.6035541,4,13.6035541,51.0371151,,,POINT (13.6035541 51.0371151),5000.0
3,0,None,None,False,11003.707000000002,28,839866356,51.0375028,13.6100077,3,13.6100077,51.0375028,,,POINT (13.6100077 51.0375028),6500.0
3,0,None,None,False,11003.707000000002,28,21528488,51.0552294,13.6064454,3,13.6064454,51.0552294,,,POINT (13.6064454 51.0552294),3600.0
3,1,None,None,False,19453.718,30,15614141,51.0380282,13.6125128,3,13.6125128,51.0380282,motorway_junction,2,POINT (13.6125128 51.0380282),18000.0
3,1,None,None,False,19453.718,30,248219543,51.0367696,13.6333805,3,13.6333805,51.0367696,,,POINT (13.6333805 51.0367696),4800.0
3,1,None,None,False,19453.718,30,10941037,51.0372058,13.6154461,3,13.6154461,51.0372058,,,POINT (13.6154461 51.0372058),6000.0
3,1,None,None,False,19453.718,30,221995898,51.0385062,13.6372264,3,13.6372264,51.0385062,motorway_junction,,POINT (13.6372264 51.0385062),7200.0
3,1,None,None,False,19453.718,30,21527804,51.0415735,13.6428535,3,13.6428535,51.0415735,,,POINT (13.6428535 51.0415735),3600.0
3,2,None,None,False,7020.303,32,248219490,51.0433034,13.6489748,3,13.6489748,51.0433034,motorway_junction,,POINT (13.6489748 51.0433034),9050.0
3,2,None,None,False,7020.303,32,248219433,51.0403414,13.64651,3,13.64651,51.0403414,,,POINT (13.64651 51.0403414),3450.0
3,2,None,None,False,7020.303,32,536675,51.0421997,13.6781271,3,13.6781271,51.0421997,,,POINT (13.6781271 51.0421997),3500.0
3,3,0,0,False,6513.460999999999,34,21540524,51.0430902,13.6942513,3,13.6942513,51.0430902,,,POINT (13.6942513 51.0430902),6000.0
3,3,0,0,False,6513.460999999999,34,3148489417,51.0423961,13.6799106,4,13.6799106,51.0423961,,,POINT (13.6799106 51.0423961),2600.0
3,3,0,0,False,6513.460999999999,34,536674,51.0426901,13.6912142,3,13.6912142,51.0426901,,,POINT (13.6912142 51.0426901),4800.0
3,3,0,1,False,8114.501,36,126667225,51.043388,13.705553,5,13.705553,51.043388,,,POINT (13.705553 51.043388),8400.0
3,3,0,1,False,8114.501,36,21566459,51.0406653,13.709554,3,13.709554,51.0406653,,,POINT (13.709554 51.0406653),6300.0
3,3,0,1,False,8114.501,36,21527766,51.0463246,13.7047613,4,13.7047613,51.0463246,,,POINT (13.7047613 51.0463246),5700.0
3,3,0,1,False,8114.501,36,2262248282,51.0464622,13.7077169,4,13.7077169,51.0464622,,,POINT (13.7077169 51.0464622),4600.0
3,3,0,1,False,8114.501,36,10919780,51.0454315,13.7112891,3,13.7112891,51.0454315,,,POINT (13.7112891 51.0454315),6000.0
3,3,1,0,False,2812.447,38,21597988,51.0487787,13.6809758,3,13.6809758,51.0487787,,,POINT (13.6809758 51.0487787),8900.0
3,3,1,0,False,2812.447,38,21527686,51.0474874,13.6883412,3,13.6883412,51.0474874,,,POINT (13.6883412 51.0474874),7200.0
3,3,1,0,False,2812.447,38,2297619,51.054413,13.690407,3,13.690407,51.054413,,,POINT (13.690407 51.054413),3300.0
3,3,1,0,False,2812.447,38,21540856,51.0567385,13.6873738,3,13.6873738,51.0567385,,,POINT (13.6873738 51.0567385),3500.0
3,3,1,1,False,3941.335,40,21527762,51.050814,13.7044663,4,13.7044663,51.050814,,,POINT (13.7044663 51.050814),11400.0
3,3,1,1,False,3941.335,40,21540519,51.0492897,13.6990595,3,13.6990595,51.0492897,,,POINT (13.6990595 51.0492897),2700.0
3,3,1,1,False,3941.335,40,3146686054,51.051587,13.7074276,4,13.7074276,51.051587,,,POINT (13.7074276 51.051587),4900.0
3,3,1,1,False,3941.335,40,10919782,51.0472524,13.7089297,3,13.7089297,51.0472524,traffic_signals,,POINT (13.7089297 51.0472524),5400.0
3,3,1,1,False,3941.335,40,21552200,51.0487701,13.7045143,3,13.7045143,51.0487701,,,POINT (13.7045143 51.0487701),4500.0
3,4,0,0,False,1368.266,42,534329195,51.0368955,13.7156992,5,13.7156992,51.0368955,,,POINT (13.7156992 51.0368955),10700.0
