gridID_lat,gridID_lon,inner_grid_lat,inner_grid_lon,lat_min,lat_max,lon_min,lon_max,lane_capacity_total,node_count,lane_length,percent_residential_roads_(by_length)
3,0,None,None,51.03614553333333,51.057430677777774,13.57555,13.610142545454545,48900.0,10,11003.707000000002,16.85247773432044
4,0,None,None,51.057430677777774,51.07871582222222,13.57555,13.610142545454545,68000.0,5,20966.420000000002,14.773759372150888
5,0,None,None,51.07871582222222,51.10000096666666,13.57555,13.610142545454545,29000.0,8,4035.0399999999995,78.46525274568161
3,1,None,None,51.03614553333333,51.057430677777774,13.610142545454545,13.64473509090909,193300.0,26,19453.718,39.888904363918904
4,1,None,None,51.057430677777774,51.07871582222222,13.610142545454545,13.64473509090909,62800.0,6,19792.718999999997,29.523162950929763
5,1,None,None,51.07871582222222,51.10000096666666,13.610142545454545,13.64473509090909,11400.0,2,11901.217,73.6674756351905
2,2,None,None,51.014860388888884,51.03614553333333,13.64473509090909,13.679327636363636,4800.0,2,2969.118,60.258009299008705
3,2,None,None,51.03614553333333,51.057430677777774,13.64473509090909,13.679327636363636,33100.0,6,7020.303,81.15288097228999
4,2,None,None,51.057430677777774,51.07871582222222,13.64473509090909,13.679327636363636,130600.0,15,15812.193000000001,62.217012572072676
1,3,None,None,50.99357524444444,51.014860388888884,13.679327636363636,13.713920181818182,13600.0,4,6864.339,57.25122532229227
2,3,None,None,51.014860388888884,51.03614553333333,13.679327636363636,13.713920181818182,62200.0,20,19667.637,69.7625895748242
3,3,0,0,51.03614553333333,51.04678810555555,13.679327636363636,13.69662390909091,26500.0,6,6513.460999999999,None
3,3,1,0,51.04678810555555,51.057430677777774,13.679327636363636,13.69662390909091,62500.0,11,2812.447,None
3,3,0,1,51.03614553333333,51.04678810555555,13.69662390909091,13.713920181818182,84600.0,17,8114.501,None
3,3,1,1,51.04678810555555,51.057430677777774,13.69662390909091,13.713920181818182,132200.0,25,3941.335,None
4,3,None,None,51.057430677777774,51.07871582222222,13.679327636363636,13.713920181818182,170900.0,27,16191.057,56.70392582333049
5,3,None,None,51.07871582222222,51.10000096666666,13.679327636363636,13.713920181818182,275700.0,31,14648.872,64.1910414997051
6,3,None,None,51.10000096666666,51.12128611111111,13.679327636363636,13.713920181818182,35200.0,5,748.6410000000001,0.0
7,3,None,None,51.12128611111111,51.14257125555555,13.679327636363636,13.713920181818182,3800.0,2,151.65300000000002,29.335585329593144
1,4,None,None,50.99357524444444,51.014860388888884,13.713920181818182,13.748512727272727,36200.0,8,1802.6350000000007,10.269224856915084
2,4,None,None,51.014860388888884,51.03614553333333,13.713920181818182,13.748512727272727,265500.0,44,20836.453999999998,70.87740876837154
3,4,0,0,51.03614553333333,51.04678810555555,13.713920181818182,13.731216454545454,168700.0,31,1368.266,None
3,4,1,0,51.04678810555555,51.057430677777774,13.713920181818182,13.731216454545454,129400.0,24,7076.7519999999995,None
3,4,0,1,51.03614553333333,51.04678810555555,13.731216454545454,13.748512727272727,218100.0,37,5109.4580000000005,None
3,4,1,1,51.04678810555555,51.057430677777774,13.731216454545454,13.748512727272727,232500.0,37,6941.779,None
4,4,0,0,51.057430677777774,51.06807325,13.713920181818182,13.731216454545454,76700.0,14,6713.621999999999,None
4,4,1,0,51.06807325,51.07871582222222,13.713920181818182,13.731216454545454,39200.0,8,10268.518,None
4,4,0,1,51.057430677777774,51.06807325,13.731216454545454,13.748512727272727,224600.0,36,9340.446,None
4,4,1,1,51.06807325,51.07871582222222,13.731216454545454,13.748512727272727,100300.0,19,7932.329,None
5,4,None,None,51.07871582222222,51.10000096666666,13.713920181818182,13.748512727272727,129500.0,24,31743.038,65.14614296964348
6,4,0,0,51.10000096666666,51.11064353888889,13.713920181818182,13.731216454545454,117800.0,10,713.893,None
6,4,1,0,51.11064353888889,51.12128611111111,13.713920181818182,13.731216454545454,14600.0,3,2615.7380000000003,None
6,4,0,1,51.10000096666666,51.11064353888889,13.731216454545454,13.748512727272727,155000.0,15,2259.796,None
6,4,1,1,51.11064353888889,51.12128611111111,13.731216454545454,13.748512727272727,28000.0,4,4042.5130000000004,None
7,4,None,None,51.12128611111111,51.14257125555555,13.713920181818182,13.748512727272727,137200.0,16,1037.5519999999997,18.505680909593273
1,5,None,None,50.99357524444444,51.014860388888884,13.748512727272727,13.783105272727273,25800.0,6,1977.9569999999997,84.3712307336062
2,5,None,None,51.014860388888884,51.03614553333333,13.748512727272727,13.783105272727273,176600.0,38,24684.22,67.67218019669123
