origin,destination,TT,FFTT,Average Trip Length
0,3,14.002642624203027,13.471095600000002,11409.99033333333
0,4,11.622550935378168,11.463546685714286,9920.360333333332
0,6,4.149348459974612,3.950296399999999,3628.0526666666665
0,8,1.069506021599401,1.0414152,1043.2313333333334
0,10,3.0053896120532566,3.005388,2926.601666666667
0,12,24.973798350652313,24.903281200000002,9301.602666666668
0,14,22.03782661392048,21.123235571428566,18346.20433333334
0,16,12.623320880669622,11.620840799999996,9706.331333333335
0,18,9.286674330663491,9.148712399999999,7808.004333333333
0,20,4.887847637796693,4.852712399999999,4228.004333333332
0,22,5.732995767244053,5.2177956,4532.240333333332
0,24,8.19088008699558,8.1206812,6059.842666666666
0,27,33.87396589959222,29.481264199999995,23407.68333333333
0,28,21.420962574388188,20.63009965714285,18376.518333333337
0,30,20.49275426663789,19.638676571428565,16861.645333333337
0,32,17.41454007434529,16.187552399999998,13114.444333333335
0,34,16.009522567913358,14.8238472,11978.023333333333
0,36,12.96722170208568,12.4294572,10541.958333333332
0,38,15.829806565646567,15.061558399999994,12173.949333333336
0,40,14.26254164512716,13.6122972,10974.677333333335
0,42,10.915663052297706,10.6399488,9050.70133333333
0,44,8.940477350209369,8.7509688,7476.551333333333
0,46,11.769850925293845,11.4622572,9735.958333333332
0,48,10.794921227629606,10.558497,8952.430333333332
0,50,10.071157067061064,8.809014000000001,7533.857333333333
0,52,9.534270393071802,8.204262,7020.962333333333
0,56,28.214911329684305,24.383382400000002,19589.22333333333
0,59,35.465004073832034,31.066043199999996,23779.771333333334
0,61,23.192382621275403,22.3496672,17144.653333333332
0,63,17.911585804321405,16.211192399999998,13693.40433333333
0,65,15.064262121757992,14.426187599999999,12205.900333333331
0,67,13.683972683980071,12.9348492,11034.729333333331
0,69,13.35052945148158,12.763186999999997,10395.321333333333
0,71,15.664469566317182,14.628884599999997,11950.069333333333
0,73,16.45169904620278,14.872086199999996,12257.588333333333
0,75,13.871144234666907,13.092624600000002,10566.84333333333
0,77,16.130196744613706,14.582097199999998,12655.750333333335
0,80,24.44181988289159,20.618192,17685.82933333333
0,82,28.35309674347053,24.171512199999995,20804.141333333337
0,84,42.218346110272066,37.81884819999999,27181.341333333334
0,86,25.53936862135923,23.735266799999998,19963.466333333334
0,88,22.09924348537436,20.296231199999998,17097.60333333333
0,89,18.620798394231038,17.4229028,15053.763333333336
0,91,17.89453083498183,16.557433399999997,13438.082333333334
0,93,18.756897411365525,17.345577399999996,13607.413333333338
0,95,21.03710242138723,19.2358706,15901.058333333334
0,97,20.699267080182043,18.901042999999998,15601.219333333336
0,99,20.983415634796728,18.88896099999999,15820.130333333334
0,101,23.086291446717603,20.76303219999999,17381.856333333333
0,103,22.067416174775254,19.97160859999999,17373.686333333335
0,105,21.5484018273702,20.027321399999995,16284.126333333339
0,107,23.5556196676773,22.024951399999996,17272.879333333334
0,110,25.752877848335995,23.58042908571427,20768.65433333333
0,111,22.884631839803237,20.737816799999987,18371.373333333333
0,113,22.636019280200294,20.503240799999986,18097.701333333334
0,116,29.23449685371793,27.62338742857143,23422.675333333336
0,117,32.4325471922023,30.87645179999999,24921.76133333334
0,119,28.658548634697304,27.10432979999999,21229.997333333336
3,0,14.229140171023035,13.375407599999997,11629.251999999999
3,4,2.460744011967559,2.40133,2493.6653333333334
3,6,15.555672684144247,14.621003599999998,12673.241
3,8,12.536490908327181,11.799135599999998,10099.586000000001
3,10,16.46028177067875,13.935783999999998,11657.901
3,12,34.036425543330154,30.251360800000008,16948.195000000003
3,14,14.567521494728508,13.68783757142857,12590.699666666666
3,16,1.4702122550335075,1.088744,1257.8836666666668
3,18,3.105386115363466,2.9611634285714286,3146.8043333333335
3,20,6.785091286050565,6.255148799999999,5695.703
3,22,12.04046216735803,11.001803199999998,9212.917000000001
3,24,15.5936875439484,14.2129136,12245.657
3,27,32.45815363287884,27.479175999999992,21747.363
3,28,13.95065745519622,13.194701657142858,12621.013666666666
3,30,13.022449147445919,12.20327857142857,11106.140666666666
3,32,9.64682141676177,8.737697599999999,6785.465666666666
3,34,8.241803910329832,7.373992399999999,5649.044666666666
3,36,5.724275433303032,5.255587999999999,4442.967666666666
3,38,8.359501446454596,7.626160399999998,6418.444666666667
3,40,6.792236525935188,6.187033999999999,5219.172666666666
3,42,5.213689894420375,3.6904112000000002,3425.939666666667
3,44,6.154346286444958,5.616692400000001,5163.656
3,46,7.301547229761454,6.3724184,5499.917666666668
3,48,7.5407901001581905,5.9810972,5334.844666666666
3,50,9.020565608356188,7.9291628,7399.408
3,52,11.908188572283889,10.546783999999999,9203.151
3,56,26.799099062970924,22.3812942,17928.903000000002
3,59,34.04919180711865,29.063954999999993,22119.451
3,61,15.722077502083433,14.964812057142858,11310.974666666669
3,63,10.605311651375873,9.064674599999998,7859.725666666666
3,65,9.011703772564411,7.864410599999999,6859.505666666668
3,67,9.054401416018342,7.845010399999999,6630.292666666665
3,69,10.539431386351637,8.782895599999998,8044.733
3,71,12.853371501187238,10.005734,9599.481000000002
3,73,13.640600981072838,10.429770799999998,9907.0
3,75,11.5054064112562,9.794567600000002,8549.168
3,77,14.68100365307588,12.580009,10988.414999999999
3,80,23.02600761617821,18.616103799999998,16025.509
3,82,26.93728447675715,22.169423999999992,19143.821
3,84,40.802533843558685,35.81675999999999,25521.021000000004
3,86,18.2330944684137,16.588749,14129.787666666663
3,88,14.79296933242883,13.149713399999998,11263.924666666666
3,89,12.311916980931596,10.5140148,9496.546666666669
3,91,15.077448124072019,12.115117999999999,11227.580000000002
