From,To,Demand,TT,Distance
109888,122671181,,1.4187422895622896,495
198015,109888,,0.12485188356164384,1168
2194786530,109888,,0.03468985507246377,23
29350100,122671181,,0.038354545454545454,11
122671181,13986560,,1.2280627345844504,746
312670730,122671181,,2.785868369663942,734
109903,55120123,,0.6155629378531073,295
109903,55115532,,1.5270081543728604,1071
296098,109903,,1.2928876130198916,1106
55120123,55120124,,0.10057755102040818,49
4486531501,55120123,,0.14127751937984495,43
55115532,29350100,,2.401266757123474,737
299492,55115532,,0.7098966210045662,365
197978,27125486,,1.5740315192743763,735
300425901,197978,,0.498423,50
1528999913,197978,,1.1604679487179486,182
300425896,197978,,0.07761449275362318,23
198014,27125486,,0.9287938016528926,121
198057,27125486,,4.322534681269306,1187
27125486,7985579736,,1.0783233233233231,333
5146350397,300425901,,3.777429812606474,1174
300425896,300425901,,0.20649454545454546,55
1528999913,198021,,0.3382769230769231,52
33141762,1528999913,,0.23712051282051283,26
198014,1528999913,,1.770251735218509,778
7985579736,197992,,0.7141197435897437,130
197992,198014,,0.9327553973902729,281
3826340874,197992,,2.800167442375887,752
27510686,197992,,0.9503934701492537,268
7985579736,8436834888,,0.59416,195
7985579736,7985579742,,0.11955348837209302,43
7985579742,7985579736,,0.4135255813953489,43
4210765393,198014,,2.2071774254435637,883
4210765393,3826340874,,2.4376991452991454,429
8333764703,3826340874,,0.6425368181818182,110
20960814,4210765393,,1.3495833333333331,233
198015,2194786530,,0.15011428571428573,21
198021,198015,,2.293221710868435,641
2194786530,2194782796,,0.08206339840283941,1127
356809870,2194786530,,0.38254691160809373,1252
33141762,198021,,0.27776880341880344,78
21105391,198042,,1.5920284170153416,478
5198842675,198042,,1.575048275862069,232
18129852,198042,,0.41699032738095243,112
7843989526,21105391,,1.322461873638344,306
7985579742,21105391,,1.5937803278688527,488
5198842675,5198842676,,0.2432606060606061,55
5198842676,5198842675,,0.12156030303030303,55
198057,18129852,,1.837208413615928,519
5167408132,18129852,,3.159866553287982,1176
198056,198057,,0.34468771929824565,57
5146350397,198056,,1.202097619047619,287
1960925514,198056,,2.1306996384671004,922
202211,10802627,,0.03277857142857143,14
10802619,202211,,1.1975698511166253,806
10802626,202211,,0.16583076923076923,39
10802627,18199507,,0.18696586226361842,1181
10802627,10802628,,0.12327251461988303,57
202218,202220,,0.033725,20
10802619,202218,,0.2479910714285714,56
10802626,202218,,1.5772564553990611,568
202220,252145831,,0.4805114931846345,538
202220,252145842,,0.15645913897017838,19136
252145831,12185622,,0.4157629781420765,610
205916,252145831,,0.9479555510860821,1243
252145842,10802616,,0.11600497512437812,67
252145838,252145842,,1.0374573099415205,513
202257,1667569398,,0.11896028368794327,47
202257,1667569372,,0.550253431372549,102
444929365,202257,,0.5482151960784314,510
1667569398,1667569394,,0.19287600000000002,50
1667569398,4055298486,,0.19771428571428573,49
1667569372,4055298486,,0.01677777777777778,9
1667569372,4065496584,,0.029398484848484847,22
4055298485,1667569372,,0.020259259259259258,9
1664655717,202289,,0.06026038121170865,1469
1664655720,202289,,0.17700833333333332,36
1664655725,202289,,0.10419062500000001,32
202289,6426968075,,0.09572702950339015,1819
1664655724,202289,,1.0363947368421054,76
1648320909,1664655717,,1.5363137586805555,1152
1664655725,1664655717,,0.12156190476190476,28
1664655720,6426968075,,0.1266712643678161,29
242538445,1664655720,,1.7823823803191492,752
1648300533,1664655725,,0.8492503,500
6426968075,1664655724,,0.09179651162790697,43
202319,202324,,0.43418849557522127,565
1668991650,202319,,0.5974705426356589,774
1668991722,202319,,0.4316857037037037,450
202324,1668991635,,0.11099375,104
202324,1596367541,,0.1660021551724138,232
1668991635,1668991672,,0.054603409090909084,484
1668991635,1668991705,,0.053314814814814815,27
1596367541,1654043479,,0.6332371537726837,1047
1596367541,1654482323,,0.28832525438725853,27124
202327,1674543818,,0.5816415919760991,781
1654482343,202327,,0.46052677824267785,478
1596367540,202327,,0.5332024087849805,941
1674543818,1668991673,,0.5009720430107527,465
1674543818,1668991651,,0.5658763355408388,755
202335,1654482343,,0.19164189814814814,72
202336,202335,,0.1645074074074074,45
1747605776,202335,,0.5963469325153374,163
1654482343,1654482323,,0.2514745098039216,68
202336,1747605773,,0.3517791164658634,166
202345,202336,,0.02417777777777778,3
1747605776,1747605773,,0.02909400516795865,645
1747605773,1664619161,,1.7902732075471697,530
202339,14974592,,0.08685384615384617,26
202339,1654482315,,0.19693333333333332,51
1654482323,202339,,0.06845,6
14974592,206310864,,0.2524396551724138,87
1654482315,14974592,,0.2765248226950355,47
293781,1654482315,,5.782057039187229,4134
206310864,202345,,0.03803026036534525,26386
1596367540,202345,,0.23860796261110745,30526
202412,4289364026,,0.6612695332611572,27710
202412,1589681393,,0.34863272900763354,524
202472,202412,,1.4294567901234567,2322
4289364026,2453497661,,0.1833980392156863,340
1517111454,4289364026,,0.6798269317983603,7644
1589681393,6820699928,,0.40867280800195166,20495
1589681393,1517120915,,0.6310202898550725,943
202422,1589681695,,0.7131020227348713,997
202422,2453497661,,0.4663723555555556,750
1595261953,202422,,0.24922434210526317,380
1589681695,4151539659,,0.21630909586056646,306
1517111454,1589681695,,0.23354782608695654,322
2453497661,1643469193,,2.0978580000000004,3750
202471,202476,,0.5321018726591761,890
202471,284760,,0.4333210796915167,389
4151539659,202471,,1.255825623723697,0
202476,107776965,,5.241599698102358,6956
1588846759,202476,,0.33124420677361854,374
284760,284763,,0.16389171974522293,157
284760,202482,,0.17953527777777775,60
1517539527,202472,,0.33221875,448
10112883,202472,,0.600081,1000
