,Unnamed: 0,osmid,y,x,street_cou,lon,lat,ref,highway,geometry,gridID_lon,gridID_lat,inner_grid_lon,inner_grid_lat
9908,9908,246441356,45.592451700000005,-73.68802459999999,3,-73.68802459999999,45.592451700000005,,motorway_junction,POINT (-73.68802460000001 45.5924517),4.0,5.0,1,1
9909,9909,246436980,45.5952435,-73.690706,3,-73.690706,45.5952435,8,motorway_junction,POINT (-73.69070600000001 45.5952435),4.0,5.0,0,1
9910,9910,246441271,45.600288899999995,-73.693968,3,-73.693968,45.600288899999995,,,POINT (-73.693968 45.6002889),4.0,5.0,0,1
9911,9911,5464191996,45.6135554,-73.7050718,3,-73.7050718,45.6135554,,,POINT (-73.7050718 45.6135554),4.0,6.0,None,None
9912,9912,246441276,45.6014241,-73.694779,3,-73.694779,45.6014241,,motorway_junction,POINT (-73.694779 45.6014241),4.0,5.0,0,1
9913,9913,246441279,45.6051756,-73.6974637,4,-73.6974637,45.6051756,,motorway_junction,POINT (-73.6974637 45.6051756),4.0,5.0,0,1
9914,9914,442599783,45.6070137,-73.6923547,3,-73.6923547,45.6070137,,,POINT (-73.6923547 45.6070137),4.0,5.0,0,1
9915,9915,442599849,45.605304700000005,-73.6981142,4,-73.6981142,45.605304700000005,,motorway_junction,POINT (-73.69811420000001 45.6053047),4.0,5.0,0,1
9916,9916,5579124086,45.6103909,-73.7014689,4,-73.7014689,45.6103909,,motorway_junction,POINT (-73.70146889999999 45.6103909),4.0,6.0,None,None
9917,9917,592917969,45.602402399999995,-73.70344320000001,4,-73.70344320000001,45.602402399999995,,motorway_junction,POINT (-73.7034432 45.6024024),4.0,5.0,0,1
9918,9918,246441296,45.6048155,-73.6983271,4,-73.6983271,45.6048155,,motorway_junction,POINT (-73.6983271 45.6048155),4.0,5.0,0,1
9919,9919,246441302,45.59993789999999,-73.6948522,3,-73.6948522,45.59993789999999,,,POINT (-73.6948522 45.5999379),4.0,5.0,0,1
9920,9920,255176010,45.6046651,-73.6976708,4,-73.6976708,45.6046651,,motorway_junction,POINT (-73.6976708 45.6046651),4.0,5.0,0,1
9921,9921,3049638948,45.5990999,-73.6942545,3,-73.6942545,45.5990999,,motorway_junction,POINT (-73.6942545 45.5990999),4.0,5.0,0,1
9922,9922,246441320,45.5939977,-73.69255059999999,3,-73.69255059999999,45.5939977,,motorway_junction,POINT (-73.6925506 45.5939977),4.0,5.0,0,1
9923,9923,246441327,45.593359299999996,-73.6925181,3,-73.6925181,45.593359299999996,,,POINT (-73.6925181 45.5933593),4.0,5.0,0,1
9924,9924,246441321,45.593699799999996,-73.6919695,4,-73.6919695,45.593699799999996,,traffic_signals,POINT (-73.6919695 45.5936998),4.0,5.0,0,1
9925,9925,246441414,45.5937223,-73.6915981,3,-73.6915981,45.5937223,,traffic_signals,POINT (-73.69159809999999 45.5937223),4.0,5.0,0,1
9926,9926,246441387,45.5914369,-73.6952452,4,-73.6952452,45.5914369,,traffic_signals,POINT (-73.6952452 45.5914369),4.0,5.0,0,1
