from,to,volume,EstimatedTT,TSTT:,579615.5725852246,length,CO2,lengthm
1804304508,1804304457,93.1905376870887,1.43454203729568,,,23.909,449.89292637368527,0.014856359239
1804304770,7865955676,79.79488441506979,238.4838020593079,,,3974.727,64041.02159116471,2.4697800907169998
1804304770,1804304773,0.0,2.65596,,,44.266,0.0,0.027505608686
7865977882,1804304670,0.0,0.8028,,,13.38,0.0,0.00831394398
7865977882,7865977877,0.0,1.4217,,,23.695,0.0,0.014723385845
674646255,7515755579,0.0,3.03324,,,50.554,0.0,0.031412789534
7515770408,7515770407,0.0,12.130379999999999,,,202.173,0.0,0.125624439183
7515755579,7515755580,0.0,0.29256,,,4.876,0.0,0.0030298049960000004
1759908861,4872587990,0.0,102.11898000000001,,,1701.983,0.0,1.057562878693
1759908861,7098334880,0.0,2.5026599999999997,,,41.711,0.0,0.025918005780999998
4872587990,7865962061,0.0,134.95446,,,2249.241,0.0,1.397613129411
4872587990,7865985459,0.0,2.731919999999994,,,45.532,0.0,0.028292264371999998
7098334880,7865957421,0.0,310.35108,,,5172.518,0.0,3.214052682178
7098334880,7098334881,0.0,2.22558,,,37.093,0.0,0.023048514503000002
1759908920,1804304267,79.79488441506979,110.77730456775355,,,1846.287,29747.478413105313,1.147229199477
1759908920,1804718931,0.0,3.76926,,,62.821,0.0,0.039035147591
1804304267,2379518824,79.79488441506979,250.1015509283351,,,4168.356,67160.78276461785,2.590095536076
1804304267,1804304265,0.0,2.992079999999994,,,49.868,0.0,0.030986529028
1804718931,2409220090,0.0,133.78853999999998,,,2229.809,0.0,1.3855386481390002
1804718931,1759908920,79.79488441506979,3.657242791951002,,,60.954,982.0942243499627,0.037875047934000004
1804304265,1804718931,93.1905376870887,111.28839804860843,,,1854.804,34901.63534274194,1.152521416284
1804304265,1804304267,0.0,2.98854,,,49.809,0.0,0.030949868138999997
2379518824,631709219,79.79488441506979,220.9114686445315,,,3681.855,59322.25170446623,2.287797923205
2379518824,2379518826,0.0,3.13044,,,52.174,0.0,0.032419410554
1804304457,7866005662,93.1905376870887,199.49770332094764,,,3324.957,62565.33668479101,2.066031856047
1804304457,6657465834,0.0,1.91754,,,31.959,0.0,0.019858395789
1804304655,7866020391,0.0,0.75996,,,12.666,0.0,0.007870285086
1804304655,1804304508,93.1905376870887,144.18722477058373,,,2403.117,45219.1785331194,1.4932272134070002
7866020391,631709251,0.0,1.97124,,,32.854,0.0,0.020414522834
1804304670,7865977877,93.1905376870887,0.964141369246068,,,16.069,302.36854046169844,0.009984810598999999
7865977877,1804304655,93.1905376870887,0.724801029341742,,,12.08,227.3079823745915,0.00750616168
7865977877,7866020391,0.0,1.31442,,,21.907,0.0,0.013612374497
7865955676,7866015820,79.79488441506979,239.17338258573588,,,3986.22,64226.197443782374,2.4769215076199997
7865955676,7865955677,0.0,4.40334,,,73.389,0.0,0.045601796319
1804304773,1804304770,0.0,2.65932,,,44.322,0.0,0.027540405462
1804304773,1804304670,93.1905376870887,32.12764562676589,,,535.46,10075.689755157191,0.33271931566
2409220090,7865962057,0.0,98.36501999999999,,,1639.417,0.0,1.018686180707
2409220090,2409220065,0.0,2.7516,,,45.86,0.0,0.02849607406
1834496488,7865955677,93.1905376870887,238.94793934704754,,,3982.46,74937.49565294018,2.47458515266
1834496488,7866015820,1.3220035815319042,3.377580000000192,,,56.293,15.026674416493014,0.034978837703
7865955677,1804304773,93.1905376870887,239.10735957345162,,,3985.117,74987.49211893095,2.4762361354070004
7865955677,7865955676,0.0,4.492799999999995,,,74.88,0.0,0.04652826048
7866015820,631709876,81.11688799660169,1619.121540013437,,,26985.337,441992.62844635505,16.767905837027
7866015820,1834496488,0.0,3.5962799999999997,,,59.938,0.0,0.037243734998
2042794119,7865979698,0.0,126.78341999999998,,,2113.057,0.0,1.312992341147
2042794119,4872406045,0.0,2.664,,,44.4,0.0,0.0275888724
4777503145,7515770472,0.0,7.357979999999993,,,122.633,0.0,0.076200589843
4777503145,7515770461,0.0,5.4122399999999935,,,90.204,0.0,0.056050149683999996
2379518826,1804304265,93.1905376870887,250.5758958607397,,,4176.259,78584.18933474585,2.595006231089
2379518826,2379518824,0.0,3.129419999999994,,,52.157,0.0,0.032408847247
2409220065,1759908920,0.0,134.92770000000002,,,2248.795,0.0,1.397335997945
2409220065,2409220090,0.0,2.829719999999994,,,47.162,0.0,0.029305099102
7865962057,7865985459,0.0,134.11032,,,2235.172,0.0,1.388871060812
7515770472,2415136332,0.0,237.59346,,,3959.891,0.0,2.460561430561
7515770461,7515770472,0.0,6.11694,,,101.949,0.0,0.063348152079
7865981953,7515750573,0.0,288.57732,,,4809.622,0.0,2.9885596317620005
7865981953,7865981955,0.0,3.31848,,,55.308,0.0,0.034366787268
7865962061,2409220065,0.0,98.24028,,,1637.338,0.0,1.017394350398
7865985459,7098334880,0.0,103.10436,,,1718.406,0.0,1.067767654626
7865985459,4872587990,0.0,2.9729400000000004,,,49.549,0.0,0.030788311679
7865957421,7515750568,0.0,160.99518000000006,,,2683.253,0.0,1.6672955998630001
7865957421,7865957423,0.0,3.2556599999999998,,,54.261,0.0,0.033716211831
7098334881,1759908861,0.0,1.518539999999994,,,25.309,0.0,0.015726278639000002
7515750568,7865981955,0.0,288.42024,,,4807.004,0.0,2.986932882484
7515750568,7515750573,0.0,3.21378,,,53.563,0.0,0.033282494873
7865981955,2042794119,0.0,220.66866000000002,,,3677.811,0.0,2.2852850988810003
7865981955,7865981953,0.0,3.0744000000000002,,,51.24,0.0,0.031839050040000004
7515750573,7515750575,0.0,0.702959999999994,,,11.716,0.0,0.007279982636
7515750575,7865957423,0.0,161.12106,,,2685.351,0.0,1.668599236221
7515750575,7515750568,0.0,2.76282,,,46.047,0.0,0.028612270436999997
7865957423,7098334881,0.0,310.1652,,,5169.42,0.0,3.21212767482
7865957423,7865957421,0.0,3.3607799999999943,,,56.013,0.0,0.034804853823
7515755572,7515755576,0.0,1.08882,,,18.147,0.0,0.011276019537
7515755572,7515770393,0.0,1.202879999999994,,,20.048,0.0,0.012457245807999999
7515755576,7515755584,0.0,0.5440200000000001,,,9.067,0.0,0.005633970857
7515770393,7515755576,0.0,1.30656,,,21.776,0.0,0.013530974896
7515755584,7515755579,0.0,1.4017799999999998,,,23.363,0.0,0.014517090673
7515755584,674646255,0.0,2.680259999999994,,,44.671,0.0,0.027757263941
7515755580,7515755572,0.0,2.027819999999994,,,33.797,0.0,0.021000475687
7515755580,7515770407,0.0,9.611880000000001,,,160.198,0.0,0.099542391458
7515770407,7515770426,0.0,25.08084,,,418.014,0.0,0.259741777194
7515770426,631708660,0.0,243.67583999999997,,,4061.264,0.0,2.523551672944
7865969493,626720452,0.0,82.29648,,,1371.608,0.0,0.852277434568
631709876,3093550794,159.54461167666886,769.5133484426226,,,12825.066,413160.0542096371,7.969124085486
